earliest_appearance,latest_appearance,latest_area,latest_zone,pmin_median,pmax_median,pmax_99_perc,pmax_max,eia_gen_id,epa_generator_id,fitting_param_x,fitting_param_intercept,energy_source_code,prime_mover_code,operating_year,retirement_month,retirement_year,planned_operation_month,planned_operation_year,category
ercot_rt_se_20231109_H01,ercot_rt_se_20240331_H24,ERC,COAS,0.0,0.0,7.2,7.2,MYRST,MYRST,,,MWH,BA,,,,7.0,2024.0,hydro
ercot_rt_se_20230302_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,0.0,9.9,9.9,VALVR,VALVR,,,MWH,BA,0.0,,,,,hydro
ercot_rt_se_20230228_H18,ercot_rt_se_20240331_H24,ERC,COAS,0.0,0.0,69.6,69.6,GBA,GBA,,,MWH,BA,0.0,,,,,hydro
ercot_rt_se_20230602_H01,ercot_rt_se_20240331_H24,ERC,NCEN,0.0,0.0,9.9,9.9,MNWLE,MNWLE,,,MWH,BA,0.0,,,,,hydro
ercot_rt_se_20231102_H01,ercot_rt_se_20240331_H24,ERC,EAST,0.0,0.0,0.0,0.0,LUFKS,LUFKS,,,MWH,BA,0.0,,,,,hydro
ercot_rt_se_20230504_H01,ercot_rt_se_20240331_H24,ERC,WEST,0.0,0.0,9.9,9.9,HAMIL,HAMIL,,,MWH,BA,0.0,,,,,hydro
ercot_rt_se_20230602_H01,ercot_rt_se_20240331_H24,ERC,FWES,0.0,0.0,9.9,9.9,GRDNE,GRDNE,,,MWH,BA,0.0,,,,,hydro
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,0.0,0.0,0.0,3,3,,,WAT,HY,92.0,,,,,hydro
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,0.0,0.0,0.0,2,2,,,WAT,HY,92.0,,,,,hydro
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,0.0,0.0,0.0,1,1,,,WAT,HY,92.0,,,,,hydro
ercot_rt_se_20230202_H01,ercot_rt_se_20240331_H24,ERC,EAST,0.0,0.0,9.9,9.9,DIBOL,DIBOL,,,MWH,BA,0.0,,,,,hydro
ercot_rt_se_20230602_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,0.0,0.0,0.0,WEILT,WEILT,,,MWH,BA,,,,5.0,2024.0,hydro
ercot_rt_se_20231102_H01,ercot_rt_se_20240331_H24,ERC,NCEN,0.0,0.0,0.0,0.0,CISCO,CISCO,,,MWH,BA,,,,8.0,2024.0,hydro
ercot_rt_se_20221215_H18,ercot_rt_se_20240331_H24,ERC,SCEN,0.0,0.0,0.1,80.0,BGSTB,BGSTB,,,MWH,BA,,,,5.0,2024.0,hydro
ercot_rt_se_20231010_H18,ercot_rt_se_20240331_H24,ERC,EAST,0.0,0.0,0.5,41.3,BASS1,BASS1,,,MWH,BA,,,,10.0,2024.0,hydro
ercot_rt_se_20211001_H10,ercot_rt_se_20240331_H24,ERC,EAST,0.0,0.0,67.4,69.0,BLUEJ,BLUEJ,,,MWH,BA,1.0,,,,,hydro
ercot_rt_se_20211001_H10,ercot_rt_se_20240331_H24,ERC,EAST,0.0,0.0,134.6,141.0,BLUEJ,BLUEJ,,,MWH,BA,1.0,,,,,hydro
ercot_rt_se_20231201_H01,ercot_rt_se_20240331_H24,ERC,NCEN,0.0,0.0,0.0,0.0,FWBAT,FWBAT,,,MWH,BA,,,,5.0,2024.0,hydro
ercot_rt_se_20231005_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,0.0,0.0,0.0,FALFU,FALFU,,,MWH,BA,,,,8.0,2024.0,hydro
ercot_rt_se_20231010_H18,ercot_rt_se_20240331_H24,ERC,EAST,0.0,0.0,0.5,50.3,BASS1,BASS1,,,MWH,BA,,,,10.0,2024.0,hydro
